"";"Model";"Likelihood";"AICc";"lambda";"kappa"
"1";"BM";"-333.479";"671.145";NA;NA
"2";"Lambda";"-313.685";"633.752";"0.315";NA
"3";"Kappa";"-325.028";"656.436";NA;"0.254"
"4";"Kappa - Lambda";"-313.671";"635.986";"0.276";"0.899"
