"";"Model";"Likelihood";"AICc";"lambda";"kappa"
"1";"BM";"-331.167";"666.521";NA;NA
"2";"Lambda";"-311.211";"628.802";"0.346";NA
"3";"Kappa";"-322.077";"650.535";NA;"0.212"
"4";"Kappa - Lambda";"-311.158";"630.961";"0.275";"0.821"
